Ref_Date,Unadjusted,Seasonally_adjusted,Stock_Exchange_value,Dow_Jones_index,"Standard and Poor's (500), 1941-43=10 (index)",Unemployment,GDP
06/06,35049112,32242363,115547.8,11150.2,1270.2,1006.8,1431494
06/07,34341547,33040218,101321.4,11185.7,1276.66,1206.7,1434342
06/08,35045180,33007575,113190.5,11381.2,1303.82,1233.7,1435711
06/09,33056559,32492838,125175.2,11679.1,1335.85,1043.1,1434067
06/10,31830349,32595465,129146.9,12080.7,1377.94,977.9,1436868
06/11,32663281,32814138,134968.3,12221.9,1400.63,1040.9,1440654
06/12,38605976,33515367,103614.2,12463.2,1418.3,996.9,1450451
07/01,27777968,33221023,128940.9,12621.7,1438.24,1176,1448187
07/02,26548520,33466188,122599.2,12268.6,1406.82,1133.1,1454974
07/03,32818504,33910296,134644.3,12354.3,1420.86,1150.8,1457841
07/04,33621240,34385868,124157.5,13062.9,1482.37,1119.9,1459692
07/05,38434319,34789277,155025.4,13627.6,1530.62,1095.4,1464184
07/06,37555708,34436278,152561,13408.6,1503.35,1018.2,1468020
07/07,35635889,34430726,152256.5,13212,1455.27,1134.6,1468745
07/08,36978090,34725483,157510.7,13357.7,1473.99,1165.7,1476172
07/09,34057842,34341226,129817.2,13895.6,1526.75,975.9,1475654
07/10,34070363,34305870,162880.7,13930,1549.38,948.4,1475279
07/11,35091406,34958995,157160.9,13371.7,1481.14,1014.1,1478335
07/12,40006665,35625285,119631,13264.8,1468.36,994.8,1473209
08/01,30525699,35933156,171668.5,12650.4,1378.55,1125.5,1479314
08/02,29418898,35526909,137617.8,12266.4,1330.63,1102.3,1475941
08/03,32925876,35530142,163820.9,12262.9,1322.7,1157.1,1478793
08/04,36272111,35914167,153034.6,12820.1,1385.59,1120.7,1482674
08/05,39778972,36006888,163202.1,12638.3,1400.38,1140,1482170
08/06,37842321,36400129,166808.5,11350,1280,1038.1,1486280
08/07,38632038,36403867,176626.2,11378,1267.38,1163.3,1492906
08/08,37775417,36137537,122204.9,11543.5,1282.83,1195.9,1490518
08/09,36138751,36390521,194571.5,10850.7,1166.36,1013.2,1491310
08/10,36158245,35747571,173717.6,9325,968.75,1019.1,1492168
08/11,34230901,34661690,118550.7,8829,896.24,1122.8,1476661
08/12,38256712,33303365,111338.8,8776.4,903.25,1148.2,1456237
09/01,29192654,33747849,104585.1,8000.9,825.88,1415.7,1449609
09/02,26804723,33869426,106959.3,7062.9,735.09,1495.9,1441717
09/03,31356949,33894022,134386.2,7608.9,797.87,1591.3,1431062
09/04,33942769,33930673,116507,8168.1,872.81,1574.1,1427481
09/05,37316515,34345160,125293.7,8500.3,919.14,1637.8,1425246
09/06,36865690,34735113,129108.2,8477,919.32,1519.3,1428798
09/07,37191480,34755444,108267.4,9171.6,987.48,1668.4,1431410
09/08,36049418,35039739,104005,9496.3,1020.62,1690.6,1430383
09/09,35537357,35239195,133636.6,9712.3,1057.08,1395,1441215
09/10,36133694,35330869,118262.1,9712.7,1036.19,1393.7,1443774
09/11,34354756,35250896,110444.2,10344.8,1095.63,1461.2,1452669
09/12,40969765,35577384,106931.5,10428,1115.1,1430.8,1456248
10/01,30668321,36080033,101818.9,10067.3,1073.87,1589.2,1465388
10/02,28632551,36051781,92991.2,10325.3,1104.49,1557.1,1472653
10/03,34967182,37001843,123504.8,10856.6,1169.43,1615,1480485
10/04,36469949,36148495,118144.4,11008.6,1186.69,1557.3,1479348
10/05,38424455,36041318,132403.2,10136.6,1089.41,1564.9,1485823
10/06,38973462,36350588,117188.4,9774,1030.71,1408.2,1488406
10/07,38932294,36295314,94109.5,10465.9,1101.6,1568.8,1488617
10/08,37395330,36515170,110440.9,10014.7,1049.33,1661.4,1493504
10/09,36923390,36632898,131434.9,10788,1141.2,1380.5,1493372
10/10,37014326,36879707,108314.5,11118.5,1183.26,1326,1499793
10/11,37408825,37568029,133522.9,11006,1180.55,1309.1,1506896
10/12,43147947,37392857,126874.2,11577.5,1257.64,1298,1516427
11/01,31191594,37392259,133631.9,11891.9,1286.12,1495.5,1521926
11/02,29797949,37437926,132724.9,12226.3,1327.22,1471.5,1519254
11/03,36099866,37617167,152478.7,12342.5,1325.83,1514.9,1524479
11/04,38035760,37755408,115062.5,12810.5,1363.61,1479.1,1523180
11/05,40046516,37723958,119152.1,12569.8,1345.2,1427.1,1518546
11/06,40839556,38228307,120771.9,12414.3,1320.64,1342.4,1524168
11/07,39832282,37925826,93779.3,12143.2,1292.28,1443.9,1533855
11/08,39541248,37976798,147377.9,11613.5,1218.89,1500.8,1542312
11/09,38877263,38181654,130574.8,10913.4,1131.42,1257.7,1547602
11/10,38203872,38623692,114207.9,11955,1253.3,1264.1,1548345
11/11,39174736,38779553,112720.5,12045.7,1246.96,1308.9,1550199
11/12,45089701,39087795,107709.4,12217.6,1257.6,1276.5,1559414
12/01,32361808,39068876,112663.4,12632.9,1312.41,1478,1559810
12/02,32087072,38941521,113896.3,12952.1,1365.68,1429.7,1555968
12/03,37933733,39178610,130406.8,13212,1408.47,1440.4,1557835
12/04,37775805,38906105,91347.7,13231.6,1397.91,1401.1,1563656
12/05,42584571,38774246,100990.8,12393.5,1310.33,1433.2,1564378
12/06,41789242,38797884,101370.2,12880.1,1362.16,1293.5,1565005
12/07,40130908,38900925,87294.7,13008.7,1379.32,1431.8,1568613
12/08,41321526,38917668,83492.9,13090.8,1406.58,1487.8,1567115
12/09,39069513,39083285,97932,13437.1,1440.67,1250.6,1567117
12/10,39487597,39202503,89763.4,13096.5,1412.16,1280.1,1568911
12/11,40095933,39314083,89434,13025.6,1416.18,1273.2,1575246
12/12,43489091,39041093,93916.5,13104.1,1426.19,1259.3,1573486
13/01,33574671,39467323,96723.8,13860.6,1498.11,1402.1,1581334
13/02,31636843,39673155,92275.1,14054.5,1514.68,1380,1585384
13/03,37561378,39730603,100344.4,14578.5,1569.19,1455.9,1590775
13/04,39401295,39624180,102647.8,14839.8,1597.57,1392.7,1592341
13/05,44577490,40336989,109679.4,15115.6,1630.74,1378.5,1595427
13/06,42169145,40078110,103287.3,14909.6,1611.12,1300.9,1589572
13/07,42417829,40427993,98517.2,15499.5,1685.73,1432.7,1599653
13/08,43237460,40612438,86421.2,14810.3,1632.97,1485.1,1602538
13/09,40170270,40801594,88866.3,15129.7,1681.55,1214.4,1606768
13/10,41560987,40688574,90448.1,15545.8,1756.54,1220.1,1613907
13/11,41893714,40929477,92195.7,16086.4,1805.81,1224.8,1616979
13/12,44796794,40627441,86374.6,16576.7,1848.36,1272.5,1610130
14/01,34980327,40987122,105232.6,15698.8,1782.59,1396.6,1613772
14/02,32905708,41196102,98090.3,16321.7,1859.45,1397,1620503
14/03,38460091,41195582,103068.6,16457.7,1872.34,1404.2,1623498
14/04,41809373,41766311,95545.3,16580.8,1883.95,1381.6,1626573
14/05,46379543,41840181,86514,16717.2,1923.57,1389.6,1634325
14/06,44178750,42591017,98191.8,16826.6,1960.23,1305,1640553
14/07,45285331,42585330,95967.9,16563.3,1930.67,1424.4,1642974
14/08,44359733,42418849,86193.7,17098.4,2003.37,1459.3,1641961
14/09,43017529,42798575,113317,17042.9,1972.29,1197.8,1649111
14/10,43775478,42618991,128961.9,17390.5,2018.05,1151.4,1654589
14/11,42968326,42885738,104085.8,17828.2,2067.56,1183.1,1651026
14/12,46887481,42123870,145597.2,17823.1,2082.11,1177.4,1656977
15/01,35384283,41523405,124114.4,17165,2021.25,1312.6,1652919
15/02,33440812,42184063,111291.7,18132.7,2104.5,1363.5,1650487
15/03,39534738,42583736,121524.6,17776.1,2067.89,1406.7,1647121
15/04,42546027,42553512,102190.8,17840.5,2085.51,1360.8,1646046
15/05,46949163,42965526,93147.6,18010.7,2107.39,1373.7,
